"filename", "language", "C++", "Markdown", "YAML", "JSON", "HTML", "Swift", "XML", "Dart", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\constant.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\data_caller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 225, 0, 0, 0, 97, 322
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\data_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 39, 124
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\date_getter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 13, 36
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\files_name_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 11, 34
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\login_process.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 66, 237
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\register_process.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 39, 168
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\thumbnail_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 44, 147
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\update_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 27, 78
"c:\Users\USER\Documents\main_dir_flowstorage_app\flowstorage_fsc\lib\data_classes\user_data_retriever.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 30, 92
